# scorer=cert K=3 N=300 M=1245 seed=1 r=0.9 theta=0 veto=0 dynamic_I_backtrack=0 flexibility_diag=1 dataset_step=1400 eps=0.01 damp=0
step,move,vertex,dir,sT,sF,sI,bias_cert,score,abspol,margin,prod_plus,prod_minus,degree,n_inc,len1,len2,len3,len4p,Sigma_before,Sigma_per_N,step_frac,eta_before,r,converged,crashed,sat_oracle,delta_sigma,eta_after,mean_sI_after,delta_mean_sI
1400,back,110,1,0.8491499575,0.06104701041,0.08980303205,0.9389529896,0.9389529896,0.7881029471,0.8658597808,0.09564167008,0.59531327,10,10,0,2,8,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.0648654579,9,0.2037498715,0.001218307117
1400,back,194,0,0.5731094697,0.06215796291,0.3647325674,0.9378420371,0.9378420371,0.5109515068,0.8043093043,0.3889061835,0.8543936712,11,11,0,0,11,0,1.204509176,0.004015030588,0.2866666667,4,0.9,0,0,-1,0,-1,0,0
1400,back,194,1,0.5731094697,0.06215796291,0.3647325674,0.9378420371,0.9378420371,0.5109515068,0.8043093043,0.3889061835,0.8543936712,11,11,0,0,11,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.06479014146,6,0.2006161285,-0.00191543589
1400,back,74,0,0.6929193938,0.06383572562,0.2432448806,0.9361642744,0.9361642744,0.6290836682,0.8312909316,0.259831407,0.7921206213,5,5,0,2,3,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-1.061271305,826,0.1893340499,-0.01319751451
1400,back,74,1,0.6929193938,0.06383572562,0.2432448806,0.9361642744,0.9361642744,0.6290836682,0.8312909316,0.259831407,0.7921206213,5,5,0,2,3,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.0658701383,11,0.2027147885,0.0001832240831
1400,back,174,0,0.06526863845,0.5874011318,0.3473302297,0.9347313616,0.9347313616,0.5221324934,0.7999949089,0.8418109125,0.3715829425,6,6,0,1,5,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.06911997943,10,0.2025868907,5.532630936e-05
1400,back,174,1,0.06526863845,0.5874011318,0.3473302297,0.9347313616,0.9347313616,0.5221324934,0.7999949089,0.8418109125,0.3715829425,6,6,0,1,5,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.7651340554,43,0.1850276099,-0.01750395455
1400,back,80,0,0.06703738597,0.5249842281,0.407978386,0.932962614,0.932962614,0.4579468421,0.7735306131,0.8588733471,0.4372933919,5,5,0,0,5,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.06903611252,11,0.2003869433,-0.002144621144
1400,back,80,1,0.06703738597,0.5249842281,0.407978386,0.932962614,0.932962614,0.4579468421,0.7735306131,0.8588733471,0.4372933919,5,5,0,0,5,0,1.204509176,0.004015030588,0.2866666667,4,0.9,0,0,-1,0,-1,0,0
1400,back,68,0,0.837431363,0.0674511925,0.09511744451,0.9325488075,0.9325488075,0.7699801705,0.8509172443,0.1019972829,0.5850909884,12,12,0,0,12,0,1.204509176,0.004015030588,0.2866666667,4,0.9,0,0,-1,0,-1,0,0
