START ALGORITHM:
I am going to build an instance with N: 300 variables and 1200 clauses with a clause density equal to 4
START DYNAMIC-I BSP WITH r=0.9:
Decimation scorer: cert
END UNIT PROPAGATION
260 896 5.17945567 0.0172648522 3.44615385
260 896 5.17931345 0.0172643782 3.44615385
260 896 5.17921184 0.0172640395 3.44615385
260 896 5.17913706 0.0172637902 3.44615385
260 896 5.17908182 0.0172636061 3.44615385
260 896 5.17904057 0.0172634686 3.44615385
260 896 5.17900947 0.0172633649 3.44615385
259 886 5.14550234 0.0171516745 3.42084942
259 886 5.1452413 0.0171508043 3.42084942
259 886 5.14538523 0.0171512841 3.42084942
259 886 5.14518986 0.0171506329 3.42084942
259 886 5.1453453 0.017151151 3.42084942
259 886 5.14516594 0.0171505531 3.42084942
259 886 5.14532652 0.0171510884 3.42084942
259 886 5.14515788 0.0171505263 3.42084942
259 886 5.14532009 0.017151067 3.42084942
259 886 5.14515793 0.0171505264 3.42084942
258 882 5.10363144 0.0170121048 3.41860465
258 882 5.1042943 0.0170143143 3.41860465
258 882 5.1041135 0.0170137117 3.41860465
258 882 5.10390314 0.0170130105 3.41860465
258 882 5.10371904 0.0170123968 3.41860465
258 882 5.10352973 0.0170117658 3.41860465
258 882 5.10338172 0.0170112724 3.41860465
258 882 5.10320423 0.0170106808 3.41860465
258 882 5.10301891 0.017010063 3.41860465
258 882 5.10370839 0.0170123613 3.41860465
257 876 5.06250664 0.0168750221 3.40856031
257 877 5.06264335 0.0168754778 3.41245136
257 874 5.06707488 0.0168902496 3.40077821
257 877 5.0683605 0.016894535 3.41245136
257 877 5.06777916 0.0168925972 3.41245136
257 877 5.06833976 0.0168944659 3.41245136
257 877 5.06776547 0.0168925516 3.41245136
257 877 5.06832131 0.0168944044 3.41245136
257 877 5.06775632 0.0168925211 3.41245136
257 877 5.06829975 0.0168943325 3.41245136
256 868 5.03203907 0.0167734636 3.390625
256 868 5.03165714 0.0167721905 3.390625
256 868 5.03159208 0.0167719736 3.390625
256 868 5.03111263 0.0167703754 3.390625
256 868 5.03114976 0.0167704992 3.390625
256 868 5.0309558 0.0167698527 3.390625
256 868 5.03069657 0.0167689886 3.390625
256 868 5.03036126 0.0167678709 3.390625
256 868 5.0299102 0.0167663673 3.390625
256 868 5.02927522 0.0167642507 3.390625
255 862 4.99065332 0.0166355111 3.38039216
255 862 4.9900899 0.016633633 3.38039216
255 862 4.98926597 0.0166308866 3.38039216
255 867 4.99029391 0.016634313 3.4
255 871 4.99504444 0.0166501481 3.41568627
255 872 5.01041534 0.0167013845 3.41960784
255 879 5.01694918 0.0167231639 3.44705882
255 885 5.01630526 0.0167210175 3.47058824
255 885 5.01304831 0.016710161 3.47058824
255 885 5.00870591 0.0166956864 3.47058824
254 875 4.96713479 0.016557116 3.44488189
254 874 4.96890928 0.0165630309 3.44094488
254 870 4.97445755 0.0165815252 3.42519685
254 871 4.97924937 0.0165974979 3.42913386
254 869 4.98923717 0.0166307906 3.42125984
254 869 4.98908481 0.0166302827 3.42125984
254 869 4.98887487 0.0166295829 3.42125984
254 869 4.98870083 0.0166290028 3.42125984
254 869 4.98854782 0.0166284927 3.42125984
254 869 4.98841849 0.0166280616 3.42125984
253 868 4.95555005 0.0165185002 3.43083004
253 868 4.95542576 0.0165180859 3.43083004
253 868 4.95535664 0.0165178555 3.43083004
253 868 4.95529983 0.0165176661 3.43083004
253 868 4.95525026 0.0165175009 3.43083004
253 868 4.95520576 0.0165173525 3.43083004
253 868 4.95516629 0.016517221 3.43083004
253 868 4.9551314 0.0165171047 3.43083004
253 868 4.95510062 0.0165170021 3.43083004
253 868 4.95507347 0.0165169116 3.43083004
252 860 4.91972851 0.016399095 3.41269841
252 860 4.91946208 0.0163982069 3.41269841
252 860 4.91950707 0.0163983569 3.41269841
252 860 4.9194322 0.0163981073 3.41269841
252 860 4.91937716 0.0163979239 3.41269841
252 860 4.91933329 0.0163977776 3.41269841
252 860 4.91927939 0.016397598 3.41269841
252 860 4.91928625 0.0163976208 3.41269841
252 860 4.91929368 0.0163976456 3.41269841
252 860 4.91929852 0.0163976617 3.41269841
251 854 4.88183906 0.0162727969 3.40239044
251 854 4.88191174 0.0162730391 3.40239044
251 854 4.88193349 0.0162731116 3.40239044
251 854 4.88196217 0.0162732072 3.40239044
251 854 4.8819899 0.0162732997 3.40239044
251 854 4.88201761 0.016273392 3.40239044
251 854 4.88204535 0.0162734845 3.40239044
251 854 4.88207317 0.0162735772 3.40239044
251 854 4.88210115 0.0162736705 3.40239044
251 854 4.88213089 0.0162737696 3.40239044
250 851 4.84275318 0.0161425106 3.404
250 849 4.85818857 0.0161939619 3.396
250 851 4.86015974 0.0162005325 3.404
250 851 4.85905157 0.0161968386 3.404
250 851 4.8576917 0.0161923057 3.404
250 851 4.85577017 0.0161859006 3.404
250 851 4.85267339 0.016175578 3.404
250 851 4.84702002 0.0161567334 3.404
250 851 4.83455062 0.0161151687 3.404
250 853 4.80517758 0.0160172586 3.412
249 847 4.74367588 0.0158122529 3.40160643
249 848 0 0 3.40562249
allocating memory...
allocating memory...
allocating memory...
allocating memory...
allocating memory...
allocating memory...
allocating memory...
walksat version 35
command line = test -solcnf -cutoff 100000000 -best -seed 1234567 -numsol 10 ./residualformula_seed4.cnf
seed = 1234567
cutoff = 100000000
tries = 10
heuristic = best, noise 50 / 100
tail starts after flip = 900
numatom = 300, numclause = 848, numliterals = 2459
wff read in

    lowest     final       avg     noise     noise     total                 avg        mean        mean
