# scorer=cert K=3 N=300 M=1245 seed=3 r=0.9 theta=0 veto=0 lookahead_k=0 parisi_exchange=0 parisi_audit=0 dynamic_I_backtrack=0 sigma_certified=0 transaction_safe=0 eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed,P_max,I_min,predicted_delta_sigma,predicted_release_gain,actual_release_gain,release_converged,certified_sigma,replay_error,sp_residual,sp_contraction
160,dec,292,1182,1.339745295,0.004465817649,2,0,0.9896240473,8,0,1,0,-0,0,0,0,0,0.00647454288,0.3214732955
161,back,291,1175,1.329414141,0.004431380471,2,0,0.9896240473,9,0,1,0,-0,0,0,0,0,0.006265379059,0.3172904543
162,dec,292,1182,1.33976246,0.004465874868,2,0,0.9896240473,8,0,1,0,-0,0,0,0,0,0.006277005252,0.3183373728
163,back,291,1175,1.329404137,0.004431347123,2,0,0.9896240473,9,0,1,0,-0,0,0,0,0,0.006150965477,0.3145906086
164,dec,292,1182,1.339754796,0.00446584932,2,0,0.9896240473,8,0,1,0,-0,0,0,0,0,0.006203724043,0.3142474958
165,back,291,1175,1.329412122,0.00443137374,2,0,0.9896240473,9,0,1,0,-0,0,0,0,0,0.006210907336,0.3142824414
166,dec,292,1182,1.339763931,0.004465879769,2,0,0.9896240473,8,0,1,0,-0,0,0,0,0,0.00633468588,0.3166474457
167,back,291,1175,1.329411796,0.004431372652,2,0,0.9896240473,9,0,1,0,-0,0,0,0,0,0.006340502107,0.3176625078
168,dec,292,1182,1.339755214,0.004465850713,2,0,0.9896240473,8,0,1,0,-0,0,0,0,0,0.006425705265,0.3193744284
169,dec,291,1175,1.32940463,0.004431348765,2,0,0.9896240473,9,0,1,0,-0,0,0,0,0,0.006392381182,0.3202695988
170,back,290,1167,1.317990391,0.004393301304,1,0,0.9888079985,10,0,1,0,-0,0,0,0,0,0.009166963836,0.7774352195
171,dec,291,1175,1.329281174,0.004430937247,1,0,0.9888079985,9,0,1,0,-0,0,0,0,0,0.009982375464,0.7472355743
172,back,290,1166,1.318350584,0.004394501947,2,0,0.9888079985,10,0,1,0,-0,0,0,0,0,0.00734696888,0.7247663774
173,dec,291,1175,1.329347802,0.004431159339,1,0,0.9888079985,9,0,1,0,-0,0,0,0,0,0.009270929594,0.3070513932
174,back,290,1166,1.318268548,0.004394228494,1,0,0.9888079985,10,0,1,0,-0,0,0,0,0,0.009401026291,0.291580264
175,dec,291,1175,1.329469787,0.004431565958,1,0,0.9888079985,9,0,1,0,-0,0,0,0,0,0.009202860784,0.290633281
176,back,290,1166,1.318221749,0.004394072497,1,0,0.9888079985,10,0,1,0,-0,0,0,0,0,0.009773439485,0.3160943534
177,dec,291,1175,1.329302383,0.004431007943,1,0,0.9888079985,9,0,1,0,-0,0,0,0,0,0.009982745439,0.3139787124
178,back,290,1166,1.318176482,0.004393921608,1,0,0.9888079985,10,0,1,0,-0,0,0,0,0,0.009710906969,0.3072684537
179,dec,291,1175,1.329271761,0.004430905871,1,0,0.9888079985,9,0,1,0,-0,0,0,0,0,0.009937586298,0.3076578335
180,back,290,1167,1.318232113,0.004394107045,2,0,0.9888079985,10,0,1,0,-0,0,0,0,0,0.007375332753,0.6726274698
181,dec,291,1175,1.329094613,0.004430315378,1,0,0.9888079985,9,0,1,0,-0,0,0,0,0,0.009672207053,0.8343392403
182,back,290,1166,1.318492211,0.004394974037,1,0,0.9888079985,10,0,1,0,-0,0,0,0,0,0.00973570673,0.3059822694
183,dec,291,1175,1.329268494,0.004430894979,1,0,0.9888079985,9,0,1,0,-0,0,0,0,0,0.009764891021,0.3103351922
184,back,290,1166,1.318224196,0.004394080654,1,0,0.9888079985,10,0,1,0,-0,0,0,0,0,0.008804568711,0.280566384
185,dec,291,1175,1.329390685,0.004431302285,1,0,0.9888079985,9,0,1,0,-0,0,0,0,0,0.009584550836,0.3095833231
186,back,290,1166,1.318171363,0.004393904542,1,0,0.9888079985,10,0,1,0,-0,0,0,0,0,0.009808849421,0.3142397751
187,dec,291,1175,1.329291283,0.004430970944,1,0,0.9888079985,9,0,1,0,-0,0,0,0,0,0.009870343637,0.3120248614
188,dec,290,1166,1.318403542,0.004394678474,2,0,0.9888079985,10,0,1,0,-0,0,0,0,0,0.006583848976,0.6388727318
189,back,289,1161,1.307778701,0.004359262335,1,0,0.9888079985,11,0,1,0,-0,0,0,0,0,0.007700251529,0.2877389126
190,dec,290,1170,1.31783608,0.004392786932,2,0,0.9888079985,10,0,1,0,-0,0,0,0,0,0.006085730171,0.5733989642
191,back,289,1161,1.307620911,0.00435873637,2,0,0.9888079985,11,0,1,0,-0,0,0,0,0,0.005227372893,0.5216952089
192,dec,290,1166,1.31829651,0.0043943217,1,0,0.9888079985,10,0,1,0,-0,0,0,0,0,0.009037482661,0.3831693346
193,back,289,1158,1.307198469,0.00435732823,1,0,0.9888079985,11,0,1,0,-0,0,0,0,0,0.009498867954,0.9329991051
194,dec,290,1166,1.318281074,0.004394270247,1,0,0.9888079985,10,0,1,0,-0,0,0,0,0,0.008545343684,0.7002600256
195,back,289,1161,1.307712918,0.00435904306,1,0,0.9888079985,11,0,1,0,-0,0,0,0,0,0.009027554196,0.3591248203
196,dec,290,1166,1.318168913,0.004393896377,1,0,0.9888079985,10,0,1,0,-0,0,0,0,0,0.006759551387,0.2586962165
197,back,289,1161,1.307432149,0.004358107164,1,0,0.9888079985,11,0,1,0,-0,0,0,0,0,0.007571938775,0.2993537757
